time,temp,humidity,location,temp_outside,humidity_outside,location_outside
2021-09-02 16:00:00,64.4,62.4,Lower Southeast,84.0,23.0,Outside
2021-09-02 16:00:00,64.4,68.7,Lower Southwest,84.0,23.0,Outside
2021-09-02 16:00:00,69.62,53.6,Upper East (Garage),84.0,23.0,Outside
2021-09-02 16:00:00,70.16,52.29,Upper West (Bedroom),84.0,23.0,Outside
2021-09-02 16:00:00,84.0,23.0,Outside,84.0,23.0,Outside
2021-09-02 17:00:00,65.12,57.7,Lower Northeast,85.0,22.0,Outside
2021-09-02 17:00:00,73.04,54.2,Backyard,85.0,22.0,Outside
2021-09-02 17:00:00,64.4,62.3,Lower Southeast,85.0,22.0,Outside
2021-09-02 17:00:00,64.4,68.4,Lower Southwest,85.0,22.0,Outside
2021-09-02 17:00:00,69.8,53.6,Upper East (Garage),85.0,22.0,Outside
2021-09-02 17:00:00,70.34,52.19,Upper West (Bedroom),85.0,22.0,Outside
2021-09-02 17:00:00,85.0,22.0,Outside,85.0,22.0,Outside
2021-09-02 18:00:00,65.12,56.6,Lower Northeast,85.0,23.0,Outside
2021-09-02 18:00:00,73.22,54.3,Backyard,85.0,23.0,Outside
2021-09-02 18:00:00,64.58,63.0,Lower Southeast,85.0,23.0,Outside
2021-09-02 18:00:00,64.58,72.6,Lower Southwest,85.0,23.0,Outside
2021-09-02 18:00:00,69.8,54.6,Upper East (Garage),85.0,23.0,Outside
2021-09-02 18:00:00,70.52,51.79,Upper West (Bedroom),85.0,23.0,Outside
2021-09-02 18:00:00,85.0,23.0,Outside,85.0,23.0,Outside
2021-09-02 19:00:00,65.12,59.2,Lower Northeast,82.0,23.0,Outside
2021-09-02 19:00:00,72.14,51.5,Backyard,82.0,23.0,Outside
2021-09-02 19:00:00,64.58,63.4,Lower Southeast,82.0,23.0,Outside
2021-09-02 19:00:00,64.58,72.7,Lower Southwest,82.0,23.0,Outside
2021-09-02 19:00:00,69.98,55.0,Upper East (Garage),82.0,23.0,Outside
2021-09-02 19:00:00,70.34,51.99,Upper West (Bedroom),82.0,23.0,Outside
2021-09-02 19:00:00,82.0,23.0,Outside,82.0,23.0,Outside
2021-09-02 20:00:00,64.94,55.8,Lower Northeast,78.0,30.0,Outside
2021-09-02 20:00:00,71.78,51.1,Backyard,78.0,30.0,Outside
2021-09-02 20:00:00,64.58,63.7,Lower Southeast,78.0,30.0,Outside
2021-09-02 20:00:00,64.58,72.4,Lower Southwest,78.0,30.0,Outside
2021-09-02 20:00:00,69.98,55.4,Upper East (Garage),78.0,30.0,Outside
2021-09-02 20:00:00,70.34,51.19,Upper West (Bedroom),78.0,30.0,Outside
2021-09-02 20:00:00,78.0,30.0,Outside,78.0,30.0,Outside
2021-09-02 21:00:00,64.94,56.2,Lower Northeast,75.0,37.0,Outside
2021-09-02 21:00:00,71.6,55.1,Backyard,75.0,37.0,Outside
2021-09-02 21:00:00,64.76,62.9,Lower Southeast,75.0,37.0,Outside
2021-09-02 21:00:00,64.58,70.9,Lower Southwest,75.0,37.0,Outside
2021-09-02 21:00:00,69.98,56.0,Upper East (Garage),75.0,37.0,Outside
2021-09-02 21:00:00,70.16,51.39,Upper West (Bedroom),75.0,37.0,Outside
2021-09-02 21:00:00,75.0,37.0,Outside,75.0,37.0,Outside
2021-09-02 22:00:00,64.76,56.7,Lower Northeast,72.0,46.0,Outside
2021-09-02 22:00:00,71.6,55.4,Backyard,72.0,46.0,Outside
2021-09-02 22:00:00,64.58,62.3,Lower Southeast,72.0,46.0,Outside
2021-09-02 22:00:00,64.4,69.0,Lower Southwest,72.0,46.0,Outside
2021-09-02 22:00:00,70.16,55.5,Upper East (Garage),72.0,46.0,Outside
2021-09-02 22:00:00,69.98,52.09,Upper West (Bedroom),72.0,46.0,Outside
2021-09-02 22:00:00,72.0,46.0,Outside,72.0,46.0,Outside
